time (s),Pressure (psi),Rate (bpm)
1054,6348.48,0
1055,6346.11,0
1056,6343.73,0
1057,6341.34,0
1058,6338.94,0
1059,6335.73,0
1060,6333.29,0
1061,6330.79,0
1062,6328.32,0
1063,6326.7,0
1064,6324.22,0
1065,6321.81,0
1066,6319.35,0
1067,6316.92,0
1068,6314.5,0
1069,6312.03,0
1070,6309.61,0
1071,6306.43,0
1072,6304.06,0
1073,6301.72,0
1074,6299.27,0
1075,6296.91,0
1076,6294.55,0
1077,6292.15,0
1078,6289.81,0
1079,6287.58,0
1080,6285.32,0
1081,6283.05,0
1082,6280.79,0
1083,6278.49,0
1084,6276.25,0
1085,6274,0
1086,6271.77,0
1087,6269.48,0
1088,6267.22,0
1089,6264.9,0
1090,6262.6,0
1091,6259.48,0
1092,6257.17,0
1093,6254.85,0
1094,6252.51,0
1095,6250.19,0
1096,6247.9,0
1097,6245.55,0
1098,6243.19,0
1099,6240.84,0
1100,6238.41,0
1101,6236.1,0
1102,6233.81,0
1103,6231.52,0
1104,6229.23,0
1105,6226.96,0
1106,6224.68,0
1107,6222.38,0
1108,6220.09,0
1109,6217.81,0
1110,6215.58,0
1111,6213.31,0
1112,6210.33,0
1113,6208.13,0
1114,6205.94,0
1115,6203.68,0
1116,6201.45,0
1117,6199.24,0
1118,6197,0
1119,6194.8,0
1120,6192.66,0
1121,6190.44,0
1122,6188.21,0
1123,6185.99,0
1124,6183.72,0
1125,6181.5,0
1126,6179.22,0
1127,6176.94,0
1128,6174.63,0
1129,6172.32,0
1130,6170.01,0
1131,6167.75,0
1132,6165.47,0
1133,6163.24,0
1134,6160.29,0
1135,6158.04,0
1136,6155.86,0
1137,6153.66,0
1138,6151.46,0
1139,6149.26,0
1140,6147.1,0
1141,6144.96,0
1142,6142.8,0
1143,6140.57,0
1144,6138.39,0
1145,6136.23,0
1146,6134.02,0
1147,6131.87,0
1148,6129.78,0
1149,6127.66,0
1150,6125.47,0
1151,6123.3,0
1152,6121.19,0
1153,6119.1,0
1154,6116.27,0
1155,6114.06,0
1156,6111.82,0
1157,6109.57,0
1158,6107.4,0
1159,6105.2,0
1160,6102.98,0
1161,6100.76,0
1162,6098.56,0
1163,6096.31,0
1164,6094.08,0
1165,6091.9,0
1166,6089.72,0
1167,6087.57,0
1168,6085.44,0
1169,6083.28,0
1170,6081.19,0
1171,6079.03,0
1172,6076.94,0
1173,6074.88,0
1174,6072.82,0
1175,6070.79,0
1176,6068.05,0
1177,6065.98,0
1178,6063.94,0
1179,6061.91,0
1180,6059.9,0
1181,6057.85,0
1182,6055.73,0
1183,6053.62,0
1184,6051.51,0
1185,6049.41,0
1186,6047.35,0
1187,6045.21,0
1188,6043.09,0
1189,6040.98,0
1190,6038.89,0
1191,6036.77,0
1192,6034.62,0
1193,6032.49,0
1194,6030.33,0
1195,6028.21,0
1196,6025.41,0
1197,6023.27,0
1198,6021.89,0
1199,6021.89,0
1200,6019.79,0
1201,6017.66,0
1202,6015.56,0
1203,6013.53,0
1204,6011.61,0
1205,6009.51,0
1206,6007.54,0
1207,6005.57,0
1208,6002.77,0
1209,6000.67,0
1210,5998.59,0
1211,5996.69,0
1212,5994.69,0
1213,5992.61,0
1214,5990.63,0
1215,5988.65,0
1216,5986.66,0
1217,5984.63,0
1218,5982.68,0
1219,5980.67,0
1220,5978.62,0
1221,5976.57,0
1222,5974.47,0
1223,5972.44,0
1224,5970.36,0
1225,5968.26,0
1226,5966.21,0
1227,5964.2,0
1228,5961.43,0
1229,5959.36,0
1230,5957.34,0
1231,5955.33,0
1232,5953.37,0
1233,5951.39,0
1234,5949.36,0
1235,5947.26,0
1236,5945.25,0
1237,5943.52,0
1238,5941.53,0
1239,5939.47,0
1240,5937.55,0
1241,5935.64,0
1242,5933.7,0
1243,5931.73,0
1244,5929.75,0
1245,5927.86,0
1246,5925.95,0
1247,5923.95,0
1248,5922.03,0
1249,5920.13,0
1250,5917.47,0
1251,5915.48,0
1252,5913.52,0
1253,5911.53,0
1254,5909.54,0
1255,5907.57,0
1256,5905.5,0
1257,5903.5,0
